2020-10-17 12:41:46	[Main thread]	WARN	Achilles	3	Cohort table not found, will skip analyses 1700 and 1701
2020-10-17 12:41:46	[Main thread]	INFO	Achilles	achilles	Beginning single-threaded execution
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	Executing multiple queries. This could take a while
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	Analysis 0 (Source name) -- START
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 0 (0.168016 secs)
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	Analysis 1 (Number of persons) -- START
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 1 (0.084467 secs)
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	Analysis 2 (Number of persons by gender) -- START
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 2 (0.093635 secs)
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	Analysis 3 (Number of persons by year of birth) -- START
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 3 (0.094682 secs)
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	Analysis 4 (Number of persons by race) -- START
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 4 (0.091158 secs)
2020-10-17 12:41:59	[Main thread]	INFO	Achilles	achilles	Analysis 5 (Number of persons by ethnicity) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 5 (0.093530 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 7 (Number of persons with invalid provider_id) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 7 (0.095841 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 8 (Number of persons with invalid location_id) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 8 (0.089577 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 9 (Number of persons with invalid care_site_id) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 9 (0.091036 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 10 (Number of all persons by year of birth by gender) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 10 (0.093247 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 11 (Number of non-deceased persons by year of birth by gender) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 11 (0.109027 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 12 (Number of persons by race and ethnicity) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 12 (0.091406 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 101 (Number of persons by age, with age at first observation period) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 101 (0.103903 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 102 (Number of persons by gender by age, with age at first observation period) -- START
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	[Main Analysis] [COMPLETE] 102 (0.101618 secs)
2020-10-17 12:42:00	[Main thread]	INFO	Achilles	achilles	Analysis 103 (Distribution of age at first observation period) -- START
