concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
73855,73855,Maps to,1970-01-01,2099-12-31,
73855,73855,Mapped from,1970-01-01,2099-12-31,
73855,44825733,Mapped from,1970-01-01,2099-12-31,
195083,194755,Subsumes,2011-07-31,2099-12-31,
195083,44825814,Mapped from,1970-01-01,2099-12-31,
195083,195083,Maps to,1970-01-01,2099-12-31,
195083,195083,Mapped from,1970-01-01,2099-12-31,
434376,44819697,Mapped from,1970-01-01,2099-12-31,
434376,434376,Maps to,1970-01-01,2099-12-31,
434376,434376,Mapped from,1970-01-01,2099-12-31,
434376,312327,Is a,2011-07-31,2099-12-31,
434376,44827782,Mapped from,1970-01-01,2099-12-31,
434376,44831236,Mapped from,1970-01-01,2099-12-31,
434376,44834718,Mapped from,2013-11-27,2099-12-31,
435928,44828149,Mapped from,1970-01-01,2099-12-31,
435928,435928,Maps to,1970-01-01,2099-12-31,
435928,44820058,Mapped from,2013-11-27,2099-12-31,
435928,435928,Mapped from,1970-01-01,2099-12-31,
1180188,44994209,Mapped from,1970-01-01,2099-12-31,
1180188,1180188,Maps to,2006-05-14,2099-12-31,
1180188,1180188,Mapped from,2006-05-14,2099-12-31,
1180188,44994543,Mapped from,1970-01-01,2099-12-31,
44820858,44820857,Is a,2014-10-01,2099-12-31,
44820858,438438,Maps to,1970-01-01,2099-12-31,
44823111,44820857,Is a,2014-10-01,2099-12-31,
44823111,438438,Maps to,1970-01-01,2099-12-31,
44831593,201690,Maps to,2012-12-04,2099-12-31,
44832373,441579,Maps to,1970-01-01,2099-12-31,
44832373,44833561,Subsumes,2014-10-01,2099-12-31,
44832373,44820860,Subsumes,2014-10-01,2099-12-31,
44834720,44830079,Is a,2014-10-01,2099-12-31,
44834720,436706,Maps to,1970-01-01,2099-12-31,
44836297,197988,Maps to,1970-01-01,2099-12-31,
44836297,44835088,Is a,2014-10-01,2099-12-31,
9201,9201,Mapped from,1970-01-01,2099-12-31,
9201,9201,Maps to,1970-01-01,2099-12-31,
197988,200219,Is a,2011-07-31,2099-12-31,
197988,44836297,Mapped from,1970-01-01,2099-12-31,
197988,197988,Maps to,1970-01-01,2099-12-31,
197988,197988,Mapped from,1970-01-01,2099-12-31,
312327,435561,Occurs before,2011-07-31,2099-12-31,
312327,435561,Follows,2016-01-31,2099-12-31,
312327,434376,Subsumes,2011-07-31,2099-12-31,
312327,438170,Subsumes,2011-07-31,2099-12-31,
312327,44820861,Mapped from,1970-01-01,2099-12-31,
312327,438172,Due to of,2018-07-31,2099-12-31,
312327,438438,Subsumes,2011-07-31,2099-12-31,
312327,444406,Subsumes,2011-07-31,2099-12-31,
312327,436706,Subsumes,2011-07-31,2099-12-31,
312327,438172,Occurs before,2011-07-31,2099-12-31,
312327,44834724,Mapped from,2014-10-01,2099-12-31,
312327,438172,Follows,2016-01-31,2099-12-31,
312327,438447,Subsumes,2011-07-31,2099-12-31,
312327,312327,Maps to,1970-01-01,2099-12-31,
312327,44819702,Mapped from,2013-10-10,2099-12-31,
312327,44825430,Mapped from,1970-01-01,2099-12-31,
312327,44835928,Mapped from,1970-01-01,2099-12-31,
312327,312327,Mapped from,1970-01-01,2099-12-31,
312327,44832376,Mapped from,2014-10-01,2099-12-31,
312327,44826636,Mapped from,2014-10-01,2099-12-31,
314666,44820864,Mapped from,2013-10-10,2099-12-31,
314666,314666,Maps to,1970-01-01,2099-12-31,
314666,314666,Mapped from,1970-01-01,2099-12-31,
439693,44831237,Mapped from,2012-08-31,2099-12-31,
439693,44834722,Mapped from,2013-10-10,2099-12-31,
439693,439693,Maps to,1970-01-01,2099-12-31,
439693,44837099,Mapped from,2013-10-10,2099-12-31,
439693,439693,Mapped from,1970-01-01,2099-12-31,
444406,44825429,Mapped from,2012-08-31,2099-12-31,
444406,444406,Maps to,1970-01-01,2099-12-31,
444406,44835927,Mapped from,2012-08-31,2099-12-31,
444406,444406,Mapped from,1970-01-01,2099-12-31,
444406,312327,Is a,2011-07-31,2099-12-31,
444406,44819701,Mapped from,2013-10-10,2099-12-31,
444406,44828973,Mapped from,2013-10-10,2099-12-31,
44822309,443629,Maps to,1970-01-01,2099-12-31,
44823455,44835088,Is a,2014-10-01,2099-12-31,
44823455,200219,Maps to,1970-01-01,2099-12-31,
44824632,194755,Maps to,1970-01-01,2099-12-31,
44826979,197981,Maps to,1970-01-01,2099-12-31,
44830079,44834721,Subsumes,2014-10-01,2099-12-31,
44830079,44834720,Subsumes,2014-10-01,2099-12-31,
44830079,44832375,Subsumes,2014-10-01,2099-12-31,
44830079,436706,Maps to,2013-11-27,2099-12-31,
44834718,44819697,Subsumes,2014-10-01,2099-12-31,
44834718,434376,Maps to,2013-11-27,2099-12-31,
44834718,44831236,Subsumes,2014-10-01,2099-12-31,
44834718,44827782,Subsumes,2014-10-01,2099-12-31,
44834722,439693,Maps to,2013-10-10,2099-12-31,
44834722,44837099,Subsumes,2014-10-01,2099-12-31,
44834722,44831237,Subsumes,2014-10-01,2099-12-31,
44835088,200219,Maps to,2013-11-27,2099-12-31,
44835088,44831597,Subsumes,2014-10-01,2099-12-31,
44835088,44823455,Subsumes,2014-10-01,2099-12-31,
44835088,44822304,Subsumes,2014-10-01,2099-12-31,
44835088,44825815,Subsumes,2014-10-01,2099-12-31,
44835088,44833923,Subsumes,2014-10-01,2099-12-31,
44835088,44825814,Subsumes,2014-10-01,2099-12-31,
