cohort_id,covariate_id,mean,sd,database_id
23,4291025212,0.0477,0.2186,CMSDESynPUF1k
23,73075212,-0.0057,NA,CMSDESynPUF1k
23,80180212,0.1523,0.3904,CMSDESynPUF1k
23,4316083212,0.1125,0.3356,CMSDESynPUF1k
23,4308811212,0.0682,0.2613,CMSDESynPUF1k
23,4054836212,0.0205,0.1431,CMSDESynPUF1k
23,45768449212,0.0148,0.1216,CMSDESynPUF1k
23,320128212,0.4011,0.6337,CMSDESynPUF1k
23,4311420212,0.0159,0.1262,CMSDESynPUF1k
23,4185607212,0.0148,0.1216,CMSDESynPUF1k
23,4083964212,0.0386,0.1967,CMSDESynPUF1k
23,35624868212,0.0273,0.1652,CMSDESynPUF1k
23,4157332212,0.0273,0.1652,CMSDESynPUF1k
23,443392212,0.167,0.4089,CMSDESynPUF1k
23,40486024212,0.0239,0.1546,CMSDESynPUF1k
23,194686212,0.0159,0.1262,CMSDESynPUF1k
23,4099350212,0.0932,0.3054,CMSDESynPUF1k
23,43531638212,-0.0057,NA,CMSDESynPUF1k
23,197320212,0.0375,0.1938,CMSDESynPUF1k
23,319835212,0.0818,0.2862,CMSDESynPUF1k
23,4152839212,0.0068,0.0826,CMSDESynPUF1k
23,4013518212,0.1545,0.3933,CMSDESynPUF1k
23,443454212,0.0182,0.1349,CMSDESynPUF1k
23,4177483212,-0.0057,NA,CMSDESynPUF1k
23,135473212,0.0318,0.1785,CMSDESynPUF1k
23,4042584212,0.0886,0.2979,CMSDESynPUF1k
23,77074212,0.0636,0.2524,CMSDESynPUF1k
23,194133212,0.0466,0.216,CMSDESynPUF1k
23,4175297212,0.0295,0.172,CMSDESynPUF1k
23,4028876212,0.1011,0.3182,CMSDESynPUF1k
23,4208662212,0.0216,0.147,CMSDESynPUF1k
23,4248028212,0.125,0.3538,CMSDESynPUF1k
23,4196358212,-0.0057,NA,CMSDESynPUF1k
23,436074212,-0.0057,NA,CMSDESynPUF1k
23,4131124212,0.0375,0.1938,CMSDESynPUF1k
23,254061212,0.0375,0.1938,CMSDESynPUF1k
23,436919212,-0.0057,NA,CMSDESynPUF1k
23,443568212,0.0273,0.1652,CMSDESynPUF1k
23,441408212,0.067,0.2591,CMSDESynPUF1k
23,4042414212,-0.0057,NA,CMSDESynPUF1k
23,197311212,0.0125,0.1119,CMSDESynPUF1k
23,197493212,-0.0057,NA,CMSDESynPUF1k
23,4134593212,0.0364,0.1908,CMSDESynPUF1k
23,4212540212,0.0114,0.1067,CMSDESynPUF1k
23,200763212,-0.0057,NA,CMSDESynPUF1k
23,435216212,0.0102,0.1012,CMSDESynPUF1k
23,42536652212,0.0193,0.1391,CMSDESynPUF1k
23,4260535212,0.017,0.1306,CMSDESynPUF1k
23,4154614212,0.0193,0.1391,CMSDESynPUF1k
23,4243411212,0.033,0.1816,CMSDESynPUF1k
23,193431212,0.0375,0.1938,CMSDESynPUF1k
23,4244129212,0.033,0.1816,CMSDESynPUF1k
23,4013991212,0.033,0.1816,CMSDESynPUF1k
23,432870212,0.0216,0.147,CMSDESynPUF1k
23,4213310212,0.0273,0.1652,CMSDESynPUF1k
23,377091212,0.0159,0.1262,CMSDESynPUF1k
23,440059212,0.042,0.2052,CMSDESynPUF1k
23,4270828212,0.0205,0.1431,CMSDESynPUF1k
23,4182210212,0.0318,0.1785,CMSDESynPUF1k
23,4138412212,0.0148,0.1216,CMSDESynPUF1k
23,45763653212,0.0159,0.1262,CMSDESynPUF1k
23,4054054212,0.0466,0.216,CMSDESynPUF1k
23,76396212,-0.0057,NA,CMSDESynPUF1k
23,40483613212,-0.0057,NA,CMSDESynPUF1k
23,4321586212,0.0068,0.0826,CMSDESynPUF1k
23,4211001212,-0.0057,NA,CMSDESynPUF1k
23,444369212,-0.0057,NA,CMSDESynPUF1k
23,443730212,0.0307,0.1753,CMSDESynPUF1k
23,376065212,0.0182,0.1349,CMSDESynPUF1k
23,443771212,-0.0057,NA,CMSDESynPUF1k
23,437579212,0.0148,0.1216,CMSDESynPUF1k
23,443961212,0.025,0.1582,CMSDESynPUF1k
23,4203096212,0.0216,0.147,CMSDESynPUF1k
23,4180795212,-0.0057,NA,CMSDESynPUF1k
23,4290837212,-0.0057,NA,CMSDESynPUF1k
23,4173971212,0.0284,0.1686,CMSDESynPUF1k
23,138379212,0.0068,0.0826,CMSDESynPUF1k
23,4044013212,0.0307,0.1753,CMSDESynPUF1k
23,435783212,0.017,0.1306,CMSDESynPUF1k
23,4185207212,0.0341,0.1847,CMSDESynPUF1k
23,442752212,0.0182,0.1349,CMSDESynPUF1k
23,4178956212,0.0341,0.1847,CMSDESynPUF1k
23,320741212,0.0148,0.1216,CMSDESynPUF1k
23,443398212,0.0193,0.1391,CMSDESynPUF1k
23,197804212,0.05,0.2237,CMSDESynPUF1k
23,315286212,0.0239,0.1546,CMSDESynPUF1k
23,434910212,-0.0057,NA,CMSDESynPUF1k
23,40481907212,0.008,0.0892,CMSDESynPUF1k
23,4100540212,-0.0057,NA,CMSDESynPUF1k
23,4174977212,0.008,0.0892,CMSDESynPUF1k
23,4164228212,-0.0057,NA,CMSDESynPUF1k
23,434770212,0.0102,0.1012,CMSDESynPUF1k
23,376647212,0.0091,0.0954,CMSDESynPUF1k
23,4147494212,-0.0057,NA,CMSDESynPUF1k
23,4254542212,-0.0057,NA,CMSDESynPUF1k
23,42709838212,0.0091,0.0954,CMSDESynPUF1k
23,4022202212,0.0091,0.0954,CMSDESynPUF1k
23,436118212,-0.0057,NA,CMSDESynPUF1k
23,4149782212,0.017,0.1306,CMSDESynPUF1k
