covariate_id,covariate_name,analysis_id,concept_id
432867101,condition_occurrence: Hyperlipidemia,101,432867
444382101,condition_occurrence: Thoracic radiculitis,101,444382
135772101,condition_occurrence: Goiter,101,135772
141650101,condition_occurrence: Disseminated superficial actinic porokeratosis,101,141650
193520101,condition_occurrence: Urinary bladder stone,101,193520
200845101,condition_occurrence: Urgent desire to urinate,101,200845
444272101,condition_occurrence: Contact dermatitis due to drugs AND/OR medicine,101,444272
312437101,condition_occurrence: Dyspnea,101,312437
312327101,condition_occurrence: Acute myocardial infarction,101,312327
433390101,condition_occurrence: Immunosuppressant adverse reaction,101,433390
75051101,condition_occurrence: Derangement of posterior horn of medial meniscus,101,75051
73557101,condition_occurrence: Allergic arthritis of the pelvic region and thigh,101,73557
77630101,condition_occurrence: Disorder of shoulder,101,77630
257628101,condition_occurrence: Systemic lupus erythematosus,101,257628
312922101,condition_occurrence: Coronary bypass graft finding,101,312922
377091101,condition_occurrence: Seizure,101,377091
436235101,condition_occurrence: Taste sense altered,101,436235
134159101,condition_occurrence: Precordial pain,101,134159
256717101,condition_occurrence: Bronchospasm,101,256717
255334101,condition_occurrence: Collagen disease,101,255334
25844101,condition_occurrence: Ulcer of esophagus,101,25844
77670101,condition_occurrence: Chest pain,101,77670
439312101,condition_occurrence: Nondependent mixed drug abuse,101,439312
4263370101,condition_occurrence: R.I.N.D. syndrome,101,4263370
321596101,condition_occurrence: Peripheral venous insufficiency,101,321596
436953101,condition_occurrence: Continuous chronic alcoholism,101,436953
378743101,condition_occurrence: Mild nonproliferative diabetic retinopathy,101,378743
433134101,condition_occurrence: Histoplasmosis,101,433134
379823101,condition_occurrence: Acute myringitis without otitis media,101,379823
378160101,condition_occurrence: Otorrhea,101,378160
78097101,condition_occurrence: Secondary malignant neoplasm of bone,101,78097
261895101,condition_occurrence: Compensatory emphysema,101,261895
256439101,condition_occurrence: Allergic rhinitis due to pollen,101,256439
376115101,condition_occurrence: Cystoid macular retinal degeneration,101,376115
